x y
1.4409e+05 5.8956e+06
1.449e+05 5.9155e+06
50012 1.9067e+06
0 17699
1.2006e+05 5.0865e+06
1.2416e+05 5.2356e+06
1.7789e+05 6.8757e+06
1.5975e+05 6.3458e+06
1.4168e+05 5.7959e+06
1.4993e+05 6.0391e+06
1.4715e+05 5.9646e+06
1.4608e+05 5.9033e+06
43717 1.6405e+06
0 19320
1.9926e+05 7.3614e+06
2.2903e+05 8.1426e+06
1.3633e+05 5.4844e+06
1.5128e+05 5.9492e+06
1.365e+05 5.6054e+06
1.5326e+05 6.054e+06
1.342e+05 5.5704e+06
1.3948e+05 5.7966e+06
43289 1.6254e+06
0 19639
1.6715e+05 6.4587e+06
1.7353e+05 6.6694e+06
1.5451e+05 6.0526e+06
1.3e+05 5.3951e+06
1.3197e+05 5.4805e+06
1.3522e+05 5.4038e+06
1.5004e+05 5.9509e+06
1.3747e+05 5.5705e+06
36455 1.4693e+06
0 16008
2.4066e+05 8.5774e+06
2.6005e+05 9.115e+06
1.5027e+05 5.8799e+06
1.3661e+05 5.5899e+06
1.3691e+05 5.6232e+06
1.5431e+05 6.174e+06
1.507e+05 6.0554e+06
1.5242e+05 6.1404e+06
40386 1.5786e+06
0 19217
1.2805e+05 5.2837e+06
1.3626e+05 5.5115e+06
1.6867e+05 6.6514e+06
1.5489e+05 6.1655e+06
1.3017e+05 5.4638e+06
1.3995e+05 5.6924e+06
1.4825e+05 6.014e+06
1.4183e+05 5.7115e+06
51363 1.8808e+06
0 18296
1.368e+05 5.6711e+06
1.33e+05 5.5013e+06
1.4509e+05 5.9435e+06
1.7248e+05 6.6747e+06
1.5353e+05 6.159e+06
1.511e+05 5.9573e+06
1.375e+05 5.6537e+06
1.7157e+05 6.621e+06
52157 1.8956e+06
0 18125
1.4323e+05 5.8776e+06
1.3779e+05 5.7157e+06
1.7703e+05 6.8705e+06
1.7003e+05 6.6238e+06
1.4609e+05 5.8818e+06
1.5142e+05 6.0325e+06
1.5826e+05 6.1603e+06
1.583e+05 6.319e+06
53592 1.9997e+06
0 19353
1.3705e+05 5.625e+06
1.2616e+05 5.2825e+06
1.4675e+05 5.7682e+06
1.3539e+05 5.4686e+06
1.405e+05 5.7213e+06
1.4297e+05 5.7946e+06
1.3607e+05 5.6349e+06
1.4351e+05 5.8392e+06
40096 1.5508e+06
0 19935
1.401e+05 5.6863e+06
1.4272e+05 5.7804e+06
1.4744e+05 5.895e+06
1.3594e+05 5.5451e+06
1.4693e+05 5.9249e+06
1.3645e+05 5.5535e+06
1.4099e+05 5.6996e+06
1.3231e+05 5.4467e+06
47168 1.8052e+06
0 20844
2.8672e+05 9.8906e+06
2.8756e+05 9.9263e+06
1.7008e+05 6.506e+06
1.4103e+05 5.633e+06
1.4752e+05 6.0095e+06
1.5895e+05 6.2827e+06
1.4697e+05 6.0034e+06
1.4793e+05 6.0055e+06
41750 1.6692e+06
0 19027
2.8731e+05 9.8075e+06
2.7989e+05 9.5982e+06
1.6056e+05 6.2108e+06
1.5851e+05 6.201e+06
1.3277e+05 5.5297e+06
1.5002e+05 5.9268e+06
1.6244e+05 6.3182e+06
1.3611e+05 5.5888e+06
44845 1.7481e+06
0 22370
1.3573e+05 5.5964e+06
1.359e+05 5.6162e+06
1.3594e+05 5.5582e+06
1.4311e+05 5.8121e+06
1.3492e+05 5.5822e+06
1.3665e+05 5.5821e+06
1.3396e+05 5.4933e+06
1.4421e+05 5.8782e+06
41859 1.635e+06
0 18407
2.1634e+05 7.957e+06
1.9746e+05 7.4155e+06
1.7936e+05 6.7717e+06
1.5558e+05 6.1019e+06
1.3856e+05 5.7216e+06
1.5727e+05 6.2909e+06
1.3281e+05 5.5416e+06
1.4057e+05 5.7862e+06
34025 1.396e+06
0 20538
1.403e+05 5.8001e+06
1.4288e+05 5.8384e+06
1.8194e+05 6.9692e+06
1.7593e+05 6.8149e+06
1.4911e+05 6.0343e+06
1.7457e+05 6.8349e+06
1.3601e+05 5.6237e+06
1.4003e+05 5.7604e+06
49390 1.9203e+06
0 23011
1.469e+05 6.0154e+06
1.375e+05 5.7148e+06
1.8869e+05 7.1957e+06
1.6267e+05 6.4083e+06
1.4817e+05 5.9994e+06
1.5341e+05 6.082e+06
1.5013e+05 6.0645e+06
1.407e+05 5.7839e+06
49209 1.8524e+06
0 20247
1.4733e+05 5.9947e+06
1.3968e+05 5.8073e+06
1.4516e+05 5.7845e+06
1.6178e+05 6.3249e+06
1.4363e+05 5.7962e+06
1.4627e+05 5.9262e+06
1.3944e+05 5.808e+06
1.4534e+05 5.8755e+06
50255 1.8597e+06
0 20103
1.6439e+05 6.594e+06
1.6271e+05 6.4931e+06
1.5608e+05 6.0353e+06
1.3621e+05 5.5756e+06
1.4098e+05 5.7255e+06
1.5139e+05 6.0055e+06
1.4303e+05 5.8318e+06
1.398e+05 5.7041e+06
36003 1.455e+06
0 23553
1.3737e+05 5.5532e+06
1.3441e+05 5.4951e+06
1.7841e+05 6.7202e+06
2.2929e+05 8.0978e+06
1.454e+05 5.8623e+06
1.668e+05 6.3275e+06
1.4171e+05 5.7257e+06
1.433e+05 5.8255e+06
44416 1.7404e+06
0 19175
1.468e+05 6.0901e+06
1.476e+05 5.9934e+06
1.4836e+05 5.8763e+06
1.5034e+05 5.9644e+06
1.382e+05 5.6624e+06
1.5865e+05 6.344e+06
